Index,Price
327,201608.0
328,359184.0
329,735436.0
330,121212.0
331,67187.0
332,231210.0
333,245319.0
334,133704.0
335,248364.0
336,141671.0
337,81858.0
338,140483.0
339,49850.0
340,196785.0
341,68153.0
342,74179.0
343,37229.0
344,45649.0
345,116714.0
346,86760.0
347,134674.0
348,115797.0
349,158940.0
350,236829.0
351,155933.0
352,83167.0
353,147478.0
354,118468.0
355,96977.0
356,119741.0
357,138057.0
358,154178.0
359,154236.0
360,134467.0
361,146138.0
362,100617.0
363,114873.0
364,77851.0
365,164881.0
366,73260.0
367,123946.0
368,415968.0
369,194508.0
370,173678.0
371,226895.0
372,154560.0
373,82526.0
374,41757.0
375,443265.0
376,89951.0
377,608710.0
378,153442.0
379,161184.0
380,217344.0
381,98876.0
382,54691.0
383,89738.0
384,121216.0
385,168208.0
386,307268.0
387,76578.0
388,87124.0
389,85720.0
390,175123.0
391,152416.0
392,55845.0
393,53727.0
394,104660.0
395,156989.0
396,187021.0
397,49640.0
398,85708.0
399,108783.0
400,49796.0
401,158026.0
402,89397.0
403,269103.0
404,115477.0
405,111607.0
406,72565.0
407,80605.0
408,106755.0
409,125197.0
410,76078.0
411,142314.0
412,79779.0
413,62054.0
414,245019.0
415,273722.0
416,85539.0
417,90178.0
418,194109.0
419,151643.0
420,64995.0
421,145614.0
422,92817.0
423,351535.0
424,69377.0
425,52766.0
426,150861.0
427,236320.0
428,55947.0
429,79855.0
430,120061.0
431,78292.0
432,96118.0
433,51214.0
434,85949.0
435,56821.0
436,153067.0
437,139201.0
438,162437.0
439,87732.0
440,77790.0
441,86643.0
442,121891.0
443,76474.0
444,179723.0
445,126201.0
446,242134.0
447,40098.0
448,100127.0
449,109105.0
450,151904.0
451,174683.0
452,115418.0
453,146767.0
454,143225.0
455,67169.0
456,133163.0
457,61756.0
458,125779.0
459,274669.0
460,38197.0
461,234742.0
462,125936.0
463,106733.0
464,178402.0
465,153027.0
466,119690.0
467,105375.0
468,126398.0
469,135408.0
470,203486.0
471,292467.0
472,137312.0
473,71407.0
474,183125.0
475,108966.0
476,126605.0
477,91865.0
478,153510.0
479,73628.0
480,116758.0
481,189279.0
482,52660.0
483,139259.0
484,263215.0
485,97274.0
486,78170.0
487,172618.0
488,97222.0
489,113385.0
490,97050.0
491,197563.0
492,138771.0
493,132380.0
494,131977.0
